Symbol	macrophage, TB infection, non stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep4.CNhs14347.3972-173I4	macrophage, TB infection, non stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep4.CNhs14348.3973-173A5	macrophage, TB infection, non stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep4.CNhs14349.3974-173B5	macrophage, TB infection, non stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep4.CNhs14350.3975-173C5	macrophage, TB infection, non stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep4.CNhs14351.3976-173D5	macrophage, TB infection, non stimulated BMDM, without Mtb, 024hr, biol_rep4.CNhs14342.3967-173D4	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep1.CNhs11507.3607-170C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 028hr(004h after stimulation), biol_rep2.CNhs11582.3679-171C6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep1.CNhs11508.3608-170D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 036hr(012h after stimulation), biol_rep2.CNhs11583.3680-171D6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep1.CNhs11509.3609-170E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 048hr(024h after stimulation), biol_rep2.CNhs11584.3681-171E6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep1.CNhs11510.3610-170F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 072hr(048h after stimulation), biol_rep2.CNhs11585.3682-171F6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep1.CNhs11511.3611-170G6	macrophage, TB infection, non-stimulated BMDM, with Mtb, 120hr(096h after stimulation), biol_rep2.CNhs11586.3683-171G6	macrophage, TB infection, non-stimulated BMDM, without Mtb, 004hr, biol_rep3.CNhs11633.3705-172B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 006hr, biol_rep3.CNhs11634.3706-172C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 012hr, biol_rep3.CNhs11635.3707-172D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep1.CNhs11458.3561-170B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep2.CNhs11533.3633-171B1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 024hr, biol_rep3.CNhs11636.3708-172E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep1.CNhs11459.3562-170C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep2.CNhs11534.3634-171C1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 028hr, biol_rep3.CNhs11637.3709-172F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep1.CNhs11460.3563-170D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep2.CNhs11535.3635-171D1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 036hr, biol_rep3.CNhs14298.3710-172G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep1.CNhs11461.3564-170E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep2.CNhs11536.3636-171E1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 048hr, biol_rep3.CNhs14299.3711-172H1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep1.CNhs11462.3565-170F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep2.CNhs11537.3637-171F1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 072hr, biol_rep3.CNhs14300.3712-172I1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep1.CNhs11463.3566-170G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep2.CNhs11538.3638-171G1	macrophage, TB infection, non-stimulated BMDM, without Mtb, 120hr, biol_rep3.CNhs14301.3713-172A2
Mdm2	117.23	26.86	14.48	10.36	23.58	28.04	676.41	155.49	1025.57	47.35	187.47	10.88	317.99	3.29	143.44	9.02	4.88	4.27	4.04	14.02	10.64	6.37	4.7	3.05	5.31	4.37	7.85	10.59	7.02	8.03	10.17	5.39	11.82	16.72	1.56	17.35	17.65
Mdm2	21.72	9.7	7.81	5.24	0	9.58	72.32	49.84	67.2	25.41	16.59	18.49	44.81	13.18	15.28	12.03	6.19	3.89	3.39	4.67	4.43	4.2	3.13	3.05	4.48	2.73	3.02	5.61	3.9	4.25	3.78	8.09	6.68	8.13	0	9.86	10.59
Mdm2	11.96	5.52	4.06	1.64	7.86	5.69	52.99	27.91	61.75	25.41	9.42	1.09	36.14	3.29	14.43	6.02	2.62	2.51	1.74	3.74	0.89	2.17	0.78	1.22	1.31	0	1.21	1.69	3.12	1.89	3.55	0	1.54	3.78	4.68	5.12	5
Mdm2	21.2	9.4	9.48	5.35	0	8.19	31.17	37.88	43.59	23.1	10.32	10.88	24.57	6.59	13.58	9.02	4.05	4.27	4.22	9.35	2.66	3.5	3.13	1.22	4.9	4.37	7.25	4.54	2.34	5.19	4.49	2.7	3.08	8.48	4.68	7.49	10.59
Mdm2	0.94	0.6	0.21	0	0	0	3.12	3.99	6.05	0	0.9	1.09	2.89	0	0.85	0	0	0.13	0	0.93	0	0.07	0	0	0.14	0	0	0.09	0	0	0	0	0	0.23	0	0	0.44
Mdm2	5.77	3.43	4.38	2.4	7.86	1.25	9.97	5.98	7.26	8.08	1.35	2.18	7.23	0	1.7	3.01	1.19	1.63	1.83	2.8	3.55	1.68	3.13	2.44	1.93	2.73	1.21	2.49	2.34	0	2.25	4.04	2.57	2.86	3.12	2.76	2.79
Mdm2	5.88	2.54	2.4	1.09	0	0.97	14.96	21.93	22.4	3.46	6.73	2.18	8.67	3.29	5.94	0	1.19	0.5	0.28	1.87	0.89	0.42	1.57	0	0.21	0.55	0	0.45	0.78	1.42	0.95	1.35	1.03	1.49	4.68	1.58	1.91
Mdm2	133.49	114.46	80.63	53.02	31.44	61.07	152.74	133.56	190.1	50.81	74.45	45.69	119.97	36.23	61.11	51.14	50.37	43.71	43.86	55.15	64.73	45.87	54.8	46.42	47.99	53.57	47.73	64.36	54.59	52.4	63.85	78.19	60.11	63.68	53.09	47.7	62.66
Mdm2	10.6	5.67	4.48	2.29	0	3.05	8.1	5.98	10.29	4.62	1.35	2.18	2.89	3.29	5.09	0	1.55	1.51	1.83	2.8	0	1.47	0	0	1.38	1.09	0.6	1.78	1.56	2.83	2.25	2.7	2.57	1.72	3.12	2.37	2.5
Nup107	0	0	0	0.11	0	0.14	0	0	1.21	0	0	0	0	0	0	0	0	0.13	0	0	0	0.21	0	0	0	0	0.6	0.09	0	0	0	0	0	0	0	0	0
Nup107	1.47	2.98	3.54	4.36	15.72	6.8	0.62	3.99	3.03	3.46	3.59	2.18	7.23	0	0.85	6.02	6.07	5.78	4.22	3.74	3.55	6.37	4.7	5.5	6.96	6.56	6.04	6.14	4.68	4.25	7.92	5.39	4.62	7.9	9.37	6.7	6.18
Rap1b	3.04	1.04	0.42	0.98	7.86	0.83	0.62	1.99	1.21	0	1.35	1.09	0	0	0.85	0	0.83	0.88	0.55	1.87	0	0.42	0.78	0	0.55	1.09	0	0.27	0	0.47	0.12	1.35	0.51	0.8	0	0	0.29
Rap1b	44.81	25.52	19.59	20.29	15.72	16.79	11.22	13.95	9.69	8.08	6.73	7.61	4.34	9.88	8.49	9.02	12.86	9.8	15.05	13.09	6.21	10.44	7.05	8.55	10.07	7.65	11.48	8.19	7.8	10.86	8.4	4.04	10.28	8.59	0	3.55	9.71
Rap1b	895.51	556.62	471.72	506.79	770.39	313.96	667.68	867.17	884.51	354.52	330.53	290.45	471.21	372.22	365.81	225.62	338.53	332.26	520.95	310.35	289.95	390.6	327.22	309.66	358.37	290.82	362.48	258.44	258.12	313.94	284.38	254.78	404.32	281.17	267	260.58	256.67
Dyrk2	0.21	0	0.21	0.11	0	0.28	0	0	0	0	0.45	0	0	0	0	0	0.6	1.13	0.64	0	0.89	0.91	0	0	0.34	0	1.21	0.18	0	0.47	0.12	0	1.54	0.23	1.56	0	0
Dyrk2	9.45	7.01	4.38	2.51	0	3.33	11.22	9.97	9.69	4.62	6.73	3.26	5.78	3.29	2.55	0	5.83	4.4	4.22	2.8	6.21	4.83	8.61	6.11	4.48	4.37	9.06	3.56	3.9	7.55	2.25	1.35	2.57	3.09	7.81	2.37	3.38
Dyrk2	15.32	17.91	9.79	7.09	7.86	6.66	29.92	17.94	26.64	10.39	11.21	6.53	14.45	9.88	5.09	9.02	11.07	14.57	12.94	15.89	23.05	10.58	11.74	11.6	10.48	12.57	17.52	11.13	14.82	10.86	8.16	24.27	7.19	7.9	7.81	10.25	4.27
Helb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0
Helb	0.42	0.3	1.15	1.53	0	1.39	0.62	0	1.21	0	4.48	2.18	0	3.29	0	3.01	4.17	5.65	3.67	1.87	3.55	3.92	1.57	2.44	3.31	5.47	3.62	2.58	4.68	4.25	1.66	8.09	1.03	1.37	9.37	2.76	1.77
Helb	1.05	2.24	2.5	3.82	15.72	1.94	1.87	0	2.42	2.31	3.59	5.44	0	13.18	5.09	15.04	5.83	4.9	7.06	1.87	4.43	5.25	8.61	6.11	4.83	4.37	4.23	3.56	7.02	4.72	3.07	12.13	3.08	2.75	3.12	5.52	3.24
Helb	0.73	0.15	0.94	1.2	7.86	0.69	1.25	3.99	0.61	2.31	2.69	1.09	1.45	6.59	0	0	2.74	3.89	2.48	0	2.66	2.94	1.57	1.83	2.07	1.64	3.62	1.87	1.56	2.83	1.3	1.35	1.54	1.49	4.68	2.37	1.18
Helb	0.31	0.45	0.83	1.09	0	0.56	0	0	0.61	0	0	2.18	0	0	1.7	6.02	1.31	1.13	2.02	0	0.89	1.33	0	2.44	1.17	0.55	1.21	1.25	0.78	0.47	1.42	1.35	0.51	0.69	3.12	1.18	0.74
Tmbim4	63.39	82.23	63.97	35.13	39.31	21.1	58.6	101.67	55.09	56.58	30.95	28.28	53.48	65.88	46.68	54.15	14.17	17.46	17.8	30.85	25.71	13.38	27.4	23.82	11.72	37.72	18.12	10.95	47.57	13.69	10.64	25.61	7.71	8.02	32.79	8.67	7.8
Tmbim4	35.79	39.1	38.44	22.48	15.72	32.34	16.83	13.95	29.06	25.41	19.28	15.23	41.92	19.76	26.31	6.02	24.05	23.11	15.41	21.5	21.28	23.04	12.53	18.32	22.69	15.85	24.77	28.04	10.14	18.41	26.72	6.74	22.61	31.5	14.05	19.71	28.39
Tmbim4	165.92	175.19	121.47	79.75	15.72	69.26	110.35	73.76	116.24	113.17	80.28	103.34	127.2	72.47	141.74	102.28	59.54	63.69	42.39	79.46	75.37	42.65	82.98	69.63	47.72	77.62	54.98	64.9	78.76	62.32	69.29	111.89	61.14	69.29	76.51	52.83	83.69
Tmbim4	16.06	15.07	11.04	9.27	0	7.08	6.86	5.98	9.08	5.77	5.83	3.26	4.34	3.29	7.64	0	4.64	4.9	2.75	6.54	7.09	4.83	7.83	6.72	4.34	6.01	9.06	8.28	7.02	7.08	7.92	9.44	8.22	7.22	4.68	4.73	6.47
Tmbim4	47.23	36.41	27.82	25.64	0	24.15	24.31	21.93	20.58	24.25	21.08	26.11	28.91	13.18	28.01	18.05	17.03	18.09	13.95	22.44	19.51	17.72	21.14	22.6	20	24.6	22.96	21.9	33.53	23.6	21.52	22.92	14.39	21.99	23.42	27.6	32.51
Rassf3	0	0.3	0.42	0.87	7.86	2.5	0.62	0	1.82	0	1.35	1.09	2.89	0	0	0	1.07	1.76	0.55	1.87	1.77	0.98	0.78	0.61	2.14	0.55	0.6	3.29	0.78	2.36	4.38	0	0.51	3.55	0	1.18	3.97
Rassf3	0.52	1.04	0.31	1.64	0	8.19	1.25	0	1.82	0	3.14	0	2.89	3.29	0	3.01	6.31	5.65	4.04	5.61	7.09	4.9	1.57	6.11	6.62	4.92	7.85	10.15	1.56	7.55	7.69	4.04	6.17	6.3	7.81	5.91	7.35
Rassf3	8.19	4.48	8.13	18.66	0	64.26	13.72	1.99	16.35	12.7	40.81	8.7	17.35	39.53	11.88	33.09	61.68	57.28	48.17	13.09	59.41	57.36	17.22	50.69	65.23	22.96	62.83	94.01	23.39	61.37	73.55	20.22	69.36	75.71	24.98	61.5	79.87
Rassf3	1.15	1.04	1.35	3.16	0	15.82	3.74	0	1.21	1.15	3.14	2.18	1.45	0	5.09	0	3.81	5.15	4.04	0.93	7.98	5.67	1.57	8.55	6.34	1.09	6.65	18.43	1.56	8.03	12.18	1.35	9.25	14.43	3.12	9.46	13.83
Rassf3	4.2	4.78	6.98	9.93	15.72	22.07	5.61	0	7.26	4.62	8.07	5.44	7.23	13.18	9.34	0	18.34	12.56	11.47	10.28	16.85	14.64	7.05	18.93	17.58	9.29	17.52	27.69	10.92	17.94	24.12	14.83	19.52	21.99	4.68	18.92	32.8
Tbk1	4.09	2.39	1.15	1.09	0	0.56	3.12	13.95	6.05	2.31	2.69	3.26	1.45	0	0.85	0	1.07	0.63	0.64	1.87	3.55	0.35	0.78	1.22	0.97	2.73	3.02	1.34	2.34	1.42	0.24	0	2.57	0.46	0	0.39	0.59
Tbk1	112.82	105.36	68.55	62.95	141.5	50.38	61.72	81.73	46.01	76.22	44.85	50.04	44.81	56	41.59	30.08	53.7	52.01	56.33	56.09	54.09	50.01	57.93	39.7	49.03	65.05	50.14	58.4	54.59	48.15	52.74	48.53	49.83	46.61	43.72	34.3	45.89
Tbk1	4.2	3.28	1.15	0.76	15.72	0.42	1.87	0	0	2.31	1.35	5.44	1.45	0	6.79	0	0.71	0.38	0.83	2.8	1.77	0.91	0	0	0.21	0.55	0.6	0.36	0	0	0	0	0.51	0.69	0	0.79	0.74
Tbk1	4.2	2.98	0.63	0.11	0	0.56	2.49	0	1.21	0	0.45	0	0	0	2.55	0	0.24	0.13	0.18	0.93	0	0.07	0	0	0.14	0	0	0	0.78	0.47	0.12	0	0	0.11	0	0	0
Tbk1	3.67	1.19	0.1	0.11	0	0	2.49	1.99	0.61	1.15	0.9	1.09	1.45	0	1.7	0	0.24	0	0.09	0	0.89	0.14	0	0	0.07	0	0	0.36	0	0	0.35	0	0	0	0	0	0
Tmem5	0.52	0.15	0.1	0.44	7.86	0.14	1.87	0	0.61	0	0	0	1.45	0	0.85	0	0.24	0.38	0.37	0	0	0.91	0	0.61	0.76	0.55	0	0.27	0	0	0.24	1.35	0.51	0.34	1.56	0	0.29
Tmem5	1.36	0.6	0.83	0.22	0	1.53	0.62	1.99	1.21	1.15	1.35	1.09	2.89	0	2.55	3.01	0.83	0.63	0.28	0.93	0	0.7	1.57	0	0.55	2.19	0	0.45	0	0.47	0.47	1.35	0.51	0.57	0	0	1.18
Tmem5	17.63	24.32	24.17	24.22	31.44	16.38	18.7	25.92	27.85	19.63	9.42	13.05	30.35	6.59	23.77	36.1	18.7	15.33	12.2	13.09	20.39	14.71	14.87	13.44	12.41	9.84	9.06	17.27	14.82	17.94	17.03	16.18	10.79	16.38	9.37	11.43	13.83
Ppm1h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0
Ppm1h	0	0	0.21	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0
Ppm1h	1.89	3.43	6.88	4.58	0	4.58	0.62	1.99	3.63	4.62	4.04	1.09	1.45	0	2.55	0	5.24	6.16	6.7	5.61	4.43	4.97	9.39	7.33	4.34	6.56	6.65	5.79	2.34	9.44	3.9	8.09	3.6	4.47	4.68	5.12	2.5
Ppm1h	33.9	49.54	55.94	62.63	7.86	46.77	71.07	39.87	68.41	24.25	64.13	36.99	65.04	32.94	45.83	54.15	47.51	65.7	66.98	47.67	70.05	68.64	45.4	70.85	69.58	42.64	87.6	67.21	53.03	67.51	59	49.88	77.58	56.81	57.77	64.26	44.27
Ppm1h	4.09	4.78	6.56	2.95	0	3.61	2.49	0	1.21	1.15	2.69	0	1.45	0	1.7	0	2.62	3.14	2.75	2.8	3.55	3.01	0.78	3.05	3.38	1.64	4.83	4.27	3.9	3.3	3.78	0	1.54	2.86	0	2.76	3.24
Ppm1h	2.1	3.13	3.44	2.07	7.86	2.22	2.49	0	1.21	0	5.38	0	0	0	0.85	0	2.14	3.01	3.58	0.93	1.77	2.31	2.35	2.44	2.41	2.73	1.21	2.85	2.34	1.42	2.25	0	1.54	2.86	1.56	1.58	1.77
Ppm1h	1.36	2.39	2.5	1.85	0	1.53	3.74	1.99	0.61	0	3.14	0	0	0	0.85	0	1.43	2.01	1.93	0.93	1.77	2.45	0.78	0.61	1.65	3.28	2.42	1.6	0.78	3.3	1.54	4.04	1.54	0.69	0	1.58	1.18
Ppm1h	0	0	0.1	0.11	0	0	1.25	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.55	0.6	0.18	0	0	0	0	0	0	0	0	0
Ppm1h	0.1	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mon2	44.92	46.41	47.3	52.7	39.31	40.25	38.03	23.92	47.83	24.25	49.78	30.46	31.8	32.94	22.92	42.12	60.49	62.18	60.92	54.22	60.3	72.42	56.36	70.85	72.68	57.4	59.81	78.7	69.4	57.12	70	66.05	44.18	59.21	62.46	43.36	53.25
Utrn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utrn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utrn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utrn	0	0	0.1	0.33	0	0	0	0	0	0	0	0	0	0	0	3.01	0.24	0.13	0.09	0	0	0.07	0	0	0.07	0	0	0.18	0	0	0	0	0	0	0	0	0.15
Utrn	0	0	0	0.11	0	0	0	0	0	0	0	0	1.45	0	0	0	0	0	0	0	0	0.14	0	0	0.14	0	0	0.09	0	0	0.12	0	0	0	0	0	0
Utrn	0.1	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15
Utrn	0.31	0.15	0.21	0.22	0	0.14	0	0	0.61	0	0	0	0	0	0	0	0.71	0.75	1.01	0	0	0.77	0	0.61	0.9	0	0	0.71	0	1.89	0.47	0	0.51	0.92	0	0	0.29
Utrn	0.21	0	0.1	0.22	0	0.28	0	0	0.61	0	0	0	0	0	0	0	0.48	0	0.46	0	0	0.28	0.78	0	0.48	0	0.6	0.18	0.78	0	0.12	0	0	0.23	0	0	0
Utrn	0.84	0	0.1	0.44	0	0.69	0	0	0	0	0.45	0	0	0	0	0	0.48	0.5	0.18	0	0.89	0.7	0	0	0.41	0.55	0	0.62	0	0.47	0.59	0	1.54	0.57	0	1.18	0.15
Utrn	4.2	2.09	1.04	2.84	0	2.22	1.87	3.99	1.21	0	3.59	4.35	2.89	0	1.7	9.02	7.98	8.17	8.26	3.74	7.98	9.6	2.35	7.33	8.27	3.83	8.46	10.24	3.9	8.03	6.39	5.39	3.6	4.24	4.68	2.76	3.09
Utrn	1.36	1.34	0.63	2.51	0	0.56	1.25	0	1.21	2.31	2.24	2.18	1.45	9.88	1.7	0	2.62	2.64	3.49	0.93	2.66	3.64	1.57	2.44	3.1	1.64	1.21	2.76	6.24	2.83	1.77	1.35	0.51	1.83	3.12	0	1.18
Utrn	0	0.15	0.1	0.11	0	0.14	0	0	0.61	0	0	0	0	0	0	0	0.12	0	0.09	0	0	0.07	0	0	0.14	0	0.6	0.18	0	0.47	0.12	0	0	0.11	0	0	0
Xrcc6bp1	1.15	4.33	5.73	3.27	0	9.16	1.87	0	5.45	0	9.42	2.18	8.67	6.59	1.7	6.02	7.5	6.41	5.87	2.8	14.19	7.98	3.13	4.89	8.76	8.2	13.29	10.42	4.68	11.33	15.96	9.44	13.36	11.91	1.56	11.04	8.53
Ctdsp2	0.52	0.3	1.25	1.09	7.86	3.19	1.25	0	3.03	0	6.28	2.18	4.34	0	0.85	12.03	7.14	5.9	5.96	7.48	12.41	6.93	2.35	6.72	8.41	6.56	8.46	5.43	4.68	4.25	3.9	4.04	7.71	4.81	10.93	5.52	4.27
Ctdsp2	0.63	0.45	0.63	0.44	0	0.56	1.25	0	0	1.15	0.9	1.09	0	0	0	0	1.67	1.63	2.48	0	0	2.59	0	1.22	1.72	1.64	3.62	2.23	0.78	1.42	1.3	2.7	0.51	1.37	0	1.18	1.18
Ctdsp2	20.88	13.88	18.65	23.46	23.58	38.03	25.56	45.85	19.98	33.49	82.97	57.66	24.57	128.46	37.35	93.26	109.43	106.27	108.91	49.54	101.97	110.24	78.28	117.88	112.19	66.69	91.22	84.93	85.78	93.47	66.81	52.57	68.33	57.38	89	52.04	43.83
Ctdsp2	0.1	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0.71	1.26	0.28	0	1.77	0.49	0	0.61	0.48	0	1.21	0.45	0.78	1.42	0.47	0	1.03	0.46	0	1.97	0.44
Ctdsp2	0.21	0	0.1	0.11	0	0.14	1.87	1.99	0	0	0.9	0	0	0	0.85	0	1.79	1.88	1.1	0	2.66	2.1	0.78	4.89	0.9	0.55	2.42	0.62	1.56	3.3	0.47	0	1.03	0.23	1.56	0	0
Mettl1	9.13	15.22	20.11	10.69	0	14.99	6.86	7.97	14.53	24.25	5.38	15.23	33.24	9.88	22.07	0	5.95	6.66	7.52	22.44	7.98	6.79	7.83	6.72	7.65	11.48	7.85	6.32	10.14	4.72	8.04	8.09	4.11	12.48	14.05	15.37	12.06
Os9	62.55	64.17	64.17	87.94	314.44	75.51	87.28	95.69	77.49	56.58	77.59	94.64	73.72	56	100.15	63.17	134.56	128.51	139.46	103.76	97.54	128.73	117.42	100.17	116.61	96.21	97.27	108.16	94.36	101.03	99.44	113.24	113.54	89.56	90.56	87.12	80.16
B4galnt1	1.99	1.79	2.19	3.93	0	3.05	5.61	9.97	1.82	4.62	4.93	5.44	1.45	3.29	4.24	6.02	5.6	6.03	10.64	7.48	6.21	9.46	6.26	10.99	9.45	4.37	15.1	5.25	3.12	15.58	4.73	0	7.19	4.35	6.25	8.67	5.59
B4galnt1	10.49	14.92	26.98	20.84	0	27.9	22.44	7.97	16.95	24.25	40.81	33.72	26.02	49.41	36.5	33.09	50.01	58.66	64.68	45.81	101.97	66.61	42.27	97.72	70.41	36.63	112.37	62.76	37.43	92.06	53.09	33.7	51.89	51.54	26.54	60.71	38.83
B4galnt1	0	0.15	0.52	0.33	0	0.42	0	0	0.61	0	0	0	0	0	0	0	0.24	0.63	0.18	0.93	0	0.35	0	1.22	0.28	0.55	0	0.71	0	0.94	0.35	0	1.03	0.11	0	1.18	0.15
B4galnt1	0	0	0.21	0.11	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0.25	0.09	0	0	0.07	0	0.61	0	0	0.6	0.18	0	0	0	0	0	0.23	0	0.39	0.29
B4galnt1	0.31	0.3	0.31	0.44	0	0.28	0.62	0	0	0	0	0	0	0	1.7	0	0.71	1.26	1.01	0.93	0.89	1.26	0	1.22	1.52	1.09	1.21	1.25	1.56	1.89	0.59	0	0.51	1.03	0	1.97	0.88
B4galnt1	2.31	1.79	0.83	0.87	0	3.61	3.12	0	1.82	0	1.79	4.35	2.89	0	3.4	0	1.79	2.01	1.74	2.8	2.66	2.1	0.78	3.66	2.14	0.55	3.62	3.74	0	4.72	2.84	1.35	6.68	5.5	1.56	6.7	7.35
B4galnt1	4.83	2.69	0.94	0.65	0	4.72	4.99	0	1.21	3.46	1.35	1.09	0	0	5.09	0	3.33	3.14	3.58	0	2.66	4.55	1.57	4.89	4.14	0.55	3.62	4.45	3.9	10.39	5.44	0	6.68	11.8	1.56	12.22	18.24
B4galnt1	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.13	0.28	0	0.89	0.07	0	0	0.14	0	0	0.18	0	0.47	0.24	0	0	0.11	0	0	0.44
B4galnt1	0.31	0.3	0.21	0.11	0	0.28	0	0	0	0	0	0	0	0	0	0	0.83	0.75	0.55	0	0.89	0.56	0	0.61	0.9	0	1.21	0.62	0	0.47	0.83	0	0	0.57	0	1.58	2.35
B4galnt1	0	0	0.1	0.44	0	0.28	0	0	0	0	0.45	0	0	0	0.85	3.01	0.12	0.25	0.28	0	0	0.14	0.78	0.61	0.14	0.55	0	0.36	0	0	0.12	0	0	0.11	0	0	0.44
B4galnt1	0.1	0.15	1.25	1.53	0	1.53	1.25	0	0.61	0	0.45	1.09	0	0	0	0	1.79	1.38	1.83	0	1.77	2.17	0.78	3.66	2.07	0.55	2.42	1.16	0.78	1.42	1.18	0	1.54	0.57	0	0.79	0.44
B4galnt1	0.31	0.3	2.08	0.98	0	1.53	0	1.99	0	0	2.24	1.09	0	0	1.7	0	3.81	4.27	2.48	4.67	1.77	3.01	2.35	6.72	3.03	0	3.62	2.67	2.34	2.83	2.48	1.35	1.54	2.63	0	3.15	1.77
B4galnt1	5.14	2.24	7.92	11.67	7.86	11.38	9.35	3.99	7.26	4.62	14.8	11.97	5.78	3.29	6.79	6.02	27.51	25.75	29.27	14.02	38.13	26.61	21.92	43.36	25.86	15.31	45.31	23.68	7.02	36.82	20.57	5.39	24.15	17.29	12.49	28.78	13.53
Arhgap9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.13	0	0	0	0.07	0	0	0.07	0	0	0.09	0	0	0.12	0	0	0.11	0	0	0
Arhgap9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap9	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap9	5.46	13.43	14.79	16.58	55.03	27.07	6.23	3.99	9.69	16.17	15.25	11.97	8.67	16.47	13.58	9.02	30.84	36.3	29.63	26.17	46.11	27.24	19.57	27.48	26.89	21.32	31.42	31.07	24.95	30.21	27.55	26.96	32.88	24.62	28.11	26.41	31.33
Arhgap9	0.84	1.34	2.71	1.96	15.72	9.44	2.49	0	1.82	1.15	7.62	2.18	2.89	6.59	0	0	20	18.21	16.06	3.74	12.41	15.06	6.26	12.22	16	6.56	10.87	18.16	7.8	14.63	18.21	6.74	14.9	20.62	6.25	16.16	32.51
Arhgap9	0	0	0	0	0	0.14	0	0	0	0	0.45	0	0	0	0	0	0.48	0.5	0.46	0.93	0	0.63	0	0	0.62	0.55	0	0.18	0	0.47	0.35	0	0.51	0.57	0	0.39	1.03
Arhgap9	0.1	0.15	0.1	0.65	0	0.56	0	0	0	0	0	0	0	0	0	0	0.71	0.63	1.56	0	0	1.68	0	1.83	1.65	0	0	0.71	0	0.94	1.06	0	0	0.34	0	0	1.18
